名前,値段（円）（税別）,説明文,画像名,共通店舗番号,型,公開版か？
// リリース
全広告削除,100,"上部バナー広告、全画面広告、動画広告を全て非表示にします。
購入後は、じっくりとお楽しみ頂けます。",DeleteAdvertisement,delete_advertisement,NonConsumable,true
作者にココアを奢る（寄付）,100,"開発で疲れた作者に、癒しのココアを提供します。
ココア以外にも、開発費にさせて頂きます。",Cocoa1,donation,Consumable,true

// デバッグ
全広告削除1（デバッグ）,100,"デバッグ用。
上部バナー広告、全画面広告、動画広告を全て非表示にします。
購入後は、じっくりとお楽しみ頂けます。",DeleteAdvertisement,delete_advertisement_debug_1,NonConsumable,false
全広告削除2（デバッグ）,150,"デバッグ用。
上部バナー広告、全画面広告、動画広告を全て非表示にします。
購入後は、じっくりとお楽しみ頂けます。",DeleteAdvertisement,delete_advertisement_debug_2,NonConsumable,false
全広告削除3（デバッグ）,200,"デバッグ用。
上部バナー広告、全画面広告、動画広告を全て非表示にします。
購入後は、じっくりとお楽しみ頂けます。",DeleteAdvertisement,delete_advertisement_debug_3,NonConsumable,false
全広告削除4（デバッグ）,250,"デバッグ用。
上部バナー広告、全画面広告、動画広告を全て非表示にします。
購入後は、じっくりとお楽しみ頂けます。",DeleteAdvertisement,delete_advertisement_debug_4,NonConsumable,false
全広告削除5（デバッグ）,300,"デバッグ用。
上部バナー広告、全画面広告、動画広告を全て非表示にします。
購入後は、じっくりとお楽しみ頂けます。",DeleteAdvertisement,delete_advertisement_debug_5,NonConsumable,false
作者にココアを奢る（寄付）（デバッグ）,50,"デバッグ用。
開発で疲れた作者に、癒しのココアを提供します。
ココア以外にも、開発費にさせて頂きます。",Cocoa1,donation_debug_1,Consumable,false
