定数,内部文章
Dissable,無効。
NoNetwork,通信未接続。
NoSupport,購入復元に非対応。
NoInitialize,未初期化。
UnknownProduct,未販売商品指定。
InvalidReceipt,領収書無効。
DuplicateCall,重複呼び出し。
Other,その他。
,
// UnityIAPのPurchaseFailureReasonをラッピング（Unity公式資料情報）,
PurchasingUnavailable,"システムの購入機能が利用できません。
デバイス設定でアプリ内購入が無効になっています。
Unity IAP では、セキュリティ設定で無効であったり、
課金システムのライブラリが古くなっている可能性があります。"
ExistingPurchasePending,"新たに購入をリクエストしましたが、すでに購入処理中でした。
これは現在 Google Play のみです。IStoreListener.ProcessPurchase や
IStoreListener.OnPurchaseFailed からのコールバックを受け取ったあとに
新しい購入をリクエストしてください。"
ProductUnavailable,"ストアで購入できる商品ではありません。
ストア内の商品の定義を確認してください。"
SignatureInvalid,課金領収書のシグネチャ検証に失敗しました。
UserCancelled,"ユーザは購入の続行よりキャンセルを選びました。
これはキャンセルを識別できないプラットフォーム（Amazon、Microsoft）では指定されません。"
PaymentDeclined,"支払いに問題がありました。
これはAppleプラットフォーム固有です。"
DuplicateTransaction,"取引がすでに正常に完了した場合、二重取引失敗。
このエラーは、ユーザーがログインしている間に生成された領収書を使用して
App Storeからログアウトしている間に、トランザクションが正常に終了すると
Appleプラットフォームで発生する可能性があります。"
,
// UnityIAPのInitializationFailureReasonをラッピング,
NoProductsAvailable,購入可能な商品はありません。
AppNotKnown,この店はこのアプリを未知数と報告した。
